timestamp,ens210_status,temperature_c,temperature_f,humidity,ens16x_status,etvoc,eco2,aqi
1280970,1,22.63,72.74,40.3,OK,275,825,183
1281980,1,22.63,72.74,40.32,OK,277,826,184
1282990,1,22.66,72.79,40.34,OK,266,821,181
1284000,1,22.65,72.76,40.32,OK,266,821,181
1285010,1,22.63,72.74,40.34,OK,284,829,185
1286020,1,22.63,72.74,40.34,OK,291,832,187
1287030,1,22.63,72.74,40.34,OK,298,835,188
1288040,1,22.62,72.71,40.34,OK,275,825,182
1289050,1,22.6,72.68,40.36,OK,282,828,183
1290060,1,22.63,72.74,40.36,OK,280,827,183
1291070,1,22.63,72.74,40.34,OK,284,829,184
1292080,1,22.63,72.74,40.28,OK,284,829,184
1293090,1,22.63,72.74,40.3,OK,291,832,186
1294100,1,22.62,72.71,40.34,OK,289,831,185
1295110,1,22.62,72.71,40.36,OK,293,833,186
1296120,1,22.6,72.68,40.34,OK,300,836,186
1297130,1,22.62,72.71,40.38,OK,304,838,187
1298140,1,22.6,72.68,40.4,OK,318,844,190
1299150,1,22.58,72.65,40.38,OK,331,850,192
1300160,1,22.63,72.74,40.38,OK,320,845,189
1301170,1,22.6,72.68,40.32,OK,320,845,189
1302180,1,22.62,72.71,40.3,OK,333,851,192
1303190,1,22.58,72.65,40.32,OK,338,853,192
1304200,1,22.6,72.68,40.28,OK,347,857,193
1305210,1,22.6,72.68,40.34,OK,349,858,193
1306220,1,22.6,72.68,40.3,OK,342,855,191
1307230,1,22.6,72.68,40.3,OK,340,854,190
1308240,1,22.6,72.68,40.39,OK,353,860,193
1309250,1,22.6,72.68,40.38,OK,344,856,190
1310260,1,22.57,72.62,40.4,OK,320,845,185
1311270,1,22.58,72.65,40.42,OK,329,849,187
1312280,1,22.58,72.65,40.46,OK,324,847,186
1313290,1,22.62,72.71,40.48,OK,320,845,186
1314300,1,22.6,72.68,40.46,OK,315,843,185
1315310,1,22.6,72.68,40.47,OK,320,845,186
1316320,1,22.62,72.71,40.53,OK,333,851,189
1317330,1,22.6,72.68,40.57,OK,340,854,191
1318340,1,22.57,72.62,40.57,OK,342,855,191
1319350,1,22.58,72.65,40.55,OK,349,858,192
1320360,1,22.58,72.65,40.53,OK,347,857,191
